,index,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
0,657.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,68.0,3.0,7.4,52.0,3.0,15.0,4.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,1.0,0.0,0.1,1.0,0.0,0.0,0.0,222.0
1,658.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,69.0,3.0,7.4,53.0,3.0,15.0,4.0,166.0,,,,,,,,,,,,,,,
2,659.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,70.0,3.0,7.5,50.0,3.0,15.0,4.0,166.0,,,,,,,,,,,,,,,
3,660.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,71.0,3.0,8.6,51.0,3.0,15.0,5.0,166.0,,,,,,,,,,,,,,,
4,663.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,73.0,3.0,8.3,49.0,3.0,16.0,6.0,166.0,,,,,,,,,,,,,,,
5,666.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,73.0,4.0,9.6,49.0,4.0,6.0,0.0,166.0,,,,,,,,,,,,,,,
6,667.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,77.0,4.0,9.1,49.0,4.0,10.0,0.0,166.0,,,,,,,,,,,,,,,
7,668.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,81.0,4.0,9.2,47.0,4.0,14.0,0.0,166.0,,,,,,,,,,,,,,,
8,669.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,82.0,4.0,9.3,48.0,3.0,15.0,0.0,166.0,,,,,,,,,,,,,,,
9,672.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,83.0,4.0,10.6,38.0,3.0,16.0,0.0,166.0,,,,,,,,,,,,,,,
10,674.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,84.0,4.0,10.2,31.0,3.0,16.0,1.0,166.0,,,,,,,,,,,,,,,
